name,rate,products
"Aalberts",1,[]
"AB InBev",1,[]
"Accumalux",1,[]
"Acerinox ",1,[]
"Agricultural Bank of China",1,[]
"Aimbridge | Interstate Hotels",1,[]
"Air Serbia",1,[]
"Alcon",1,[]
"Alibaba",1,[]
"Align Technology",1,[]
"Alumil",1,[]
"ANT Group",1,[]
"Astron",1,[]
"Asus",1,[]
"Auchan-Retail",1,[]
"Avantor",1,[]
"Bajaj Auto",1,[]
"Bang & Bonsomer",1,[]
"Bharti Airtel",1,[]
"Birkenstock (L Catterton)",1,[]
"Boiron",1,[]
"Bonduelle",1,[]
"BPCL",1,[]
"Bureau Veritas",1,[]
"Buzzi Unichem",1,[]
"Calzedonia",1,[]
"Camille Albane",1,[]
"Campari",1,[]
"CANPACK",1,[]
"Carter's | Oshkosh",1,[]
"CFL Multimodal",1,[]
"Charoen Pokphand Foods ",1,[]
"Check Point Software",1,[]
"China Communications Construction Company",1,[]
"China Construction Bank",1,[]
"China Life Insurance Company",1,[]
"China Minmetals",1,[]
"China Mobile",1,[]
"China National Petroleum Corporation",1,[]
"China Railway Construction Corporation",1,[]
"China Railway Engineering Corporation",1,[]
"China State Construction Engineering",1,[]
"China State Railway Group Company",1,[]
"China United Network Communications",1,[]
"Chipita",1,[]
"Cipla",1,[]
"Cloudflare",1,[]
"Coal India",1,[]
"Cremonini Group",1,[]
"Dabur India",1,[]
"De Cecco",1,[]
"Denso",1,[]
"Didi",1,[]
"Divis Labs",1,[]
"DJI",1,[]
"DMK Group",1,[]
"Donaldson Filtration",1,[]
"Dover Corporation",1,[]
"Dr Reddys Labs",1,[]
"Ecco",1,[]
"EDF",1,[]
"Egger",1,[]
"Ehrmann",1,[]
"ElvalHalcor",1,[]
"Emirates Airlines",1,[]
"EMS-Chemie",1,[]
"Engie",1,[]
"ESAB",1,[]
"Eutelsat",1,[]
"FAW Group",1,[]
"Fluidra",1,[]
"FM Global",1,[]
"Frigoglass",1,[]
"GEA Group",1,[]
"Gedeon Richter",1,[]
"Geox",1,[]
"Global Fashion Group",1,[]
"Globus",1,[]
"Grohe",1,[]
"Groupe BPCE",1,[]
"Groupe Le Duff",1,[]
"Groupe Savencia",1,[]
"Groupe Seb",1,[]
"Grupo Borges | ITLV",1,[]
"Grupo Fuertes",1,[]
"Hengli Group",1,[]
"Herend",1,[]
"Hindalco",1,[]
"HiPP",1,[]
"Hochland",1,[]
"Honor",1,[]
"Huawei",1,[]
"Huhtamaki ",1,[]
"Huntsman Corporation",1,[]
"Ideal Molde",1,[]
"Industrial Bank (China)",1,[]
"Intermedia",1,[]
"International Paper",1,[]
"Intesa Sanpaolo",1,[]
"IOC",1,[]
"Itochu",1,[]
"Jabil",1,[]
"Jacques Dessange",1,[]
"JD.com",1,[]
"Jean-Louis David",1,[]
"Jidian International Trade Co",1,[]
"JSW Steel",1,[]
"Kleemann",1,[]
"Koch Industries",1,[]
"Kronospan",1,[]
"Kweichow Moutai",1,[]
"L'Occitane",1,[]
"La Redoute",1,[]
"Laboratorie Servier",1,[]
"Lacoste",1,[]
"LACTALIS",1,[]
"Larsen",1,[]
"Legrand",1,[]
"Lenovo",1,[]
"Leptos Estates",1,[]
"Leroy Merlin",1,[]
"M&M",1,[]
"Makrochem SA",1,[]
"Marubeni",1,[]
"Maxam",1,[]
"Menarini Group",1,[]
"Metro",1,[]
"Milliken & Co",1,[]
"Mitsubishi Motors",1,[]
"Mitsui",1,[]
"Mizuho Financial Group",1,[]
"Mod's Hair",1,[]
"MOLGroup",1,[]
"Mondi",1,[]
"MS & AD Insurance Group",1,[]
"MSI",1,[]
"Nature's Sunshine",1,[]
"New Yorker Marketing & Media GmbH",1,[]
"NTT",1,[]
"Oasis Logistics Corp",1,[]
"OCSiAl",1,[]
"Olam Group",1,[]
"ONGC",1,[]
"Oppo",1,[]
"Orano",1,[]
"Owens Corning",1,[]
"Parker Hannefin",1,[]
"Paul Wurth",1,[]
"Pentair",1,[]
"Phibro Animal Health Corp",1,[]
"Pidilite Ind",1,[]
"Pilkington",1,[]
